playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.7337","null","null","274","274","null","null","0.4124","null","null","null","4.2188","0.6","6.9736","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","7.6885","null","null","153","153","null","null","0.0747","null","null","null","9.0477","4.8423","2.0148","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.8587","null","null","348","348","null","null","0.0229","null","null","null","1.6847","0.07","5.9588","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","19.2069","null","null","13","13","null","null","1.7407","null","null","null","19.8166","17.07","6.83","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1703","null","null","323","323","null","null","0.099","null","null","null","2.0386","0","2.2218","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","10.8562","null","null","99","99","null","null","0.4097","null","null","null","12.9447","3.6698","5.1691","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","6.5285","null","null","177","177","null","null","0.1395","null","null","null","8.9915","3.4","3.88","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","20.6195","null","null","6","6","null","null","1.1253","null","null","null","22.4463","18.8192","4.9052","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","6.2452","null","null","185","185","null","null","0.5078","null","null","null","8.5064","3.06","5.223","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.3865","null","null","37","37","null","null","0.7907","null","null","null","18.1354","12.226","4.6203","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","5.2347","null","null","205","205","null","null","0.0574","null","null","null","10.3151","0","9.3297","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","21.9825","null","null","3","3","null","null","3.0868","null","null","null","22.9137","20.1652","7.5782","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","15.8994","null","null","42","42","null","null","0.684","null","null","null","18.5164","12.41","5.3095","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","8.9039","null","null","128","128","null","null","0.3945","null","null","null","10.5453","6.6","4.3877","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","13.759","null","null","64","64","null","null","0.6897","null","null","null","17.9698","11.58","6.7096","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","7.984","null","null","145","145","null","null","0.1397","null","null","null","12.7253","-0.0491","8.3982","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.8221","null","null","353","353","null","null","0.0249","null","null","null","1.5439","0","5.3007","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","14.4431","null","null","55","55","null","null","0.1445","null","null","null","18.5095","9.26","5.3465","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","8.6982","null","null","135","135","null","null","0.1026","null","null","null","11.2331","4.6344","2.889","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","11.5145","null","null","89","89","null","null","0.0985","null","null","null","12.4277","8.513","3.8244","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0.0232","null","null","439","439","null","null","0.0183","null","null","null","0.0426","0","7.6646","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","3.2713","null","null","267","267","null","null","0.4802","null","null","null","5.6427","0.01","3.076","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.0768","null","null","427","427","null","null","0.0207","null","null","null","0.1828","0","7.0339","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","10.6199","null","null","101","101","null","null","0.5475","null","null","null","13.6349","7.1548","5.8576","null",
"71247","null","James Casey","TE","DEN","TE","DEN","null","0.6784","null","null","365","365","null","null","0.0531","null","null","null","1.0518","0.1996","4.8995","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0.4826","null","null","379","379","null","null","0.0665","null","null","null","0.84","0","5.0708","null",
"71265","null","Jared Cook","TE","STL","TE","STL","null","8.7743","null","null","133","133","null","null","0.5966","null","null","null","10.0248","6.1552","4.0052","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","11.8426","null","null","84","84","null","null","0.186","null","null","null","13.6284","7.96","3.5684","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","10.2295","null","null","103","103","null","null","0.2734","null","null","null","12.5693","7.4263","3.0922","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","4.0065","null","null","245","245","null","null","0.1393","null","null","null","4.9967","0.85","3.5611","null",
"71435","null","John Phillips","TE","SD","TE","SD","null","0.5283","null","null","373","373","null","null","0.0093","null","null","null","0.9989","0.01","13.072","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","16.3478","null","null","38","38","null","null","0.27","null","null","null","18.0031","13.5","4.9248","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","1.4189","null","null","313","313","null","null","0.1644","null","null","null","2.8901","0","5.353","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.3568","null","null","389","389","null","null","0.0504","null","null","null","0.7799","0","5.9493","null",
"79858","null","Mark Sanchez","QB","PHI","QB","PHI","null","1.2288","null","null","320","320","null","null","0.0933","null","null","null","2.1228","-0.0345","3.5434","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","17.5256","null","null","27","27","null","null","0.4853","null","null","null","19.0666","15.4466","2.9163","null",
"80425","null","Percy Harvin","WR","BUF","WR","BUF","null","11.9715","null","null","82","82","null","null","0.0961","null","null","null","16.3899","6.81","5.2497","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","3.8366","null","null","249","249","null","null","0.1555","null","null","null","5.8836","0.7524","4.9901","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","16.158","null","null","40","40","null","null","0.8228","null","null","null","18.2738","13.5588","4.235","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","6.1352","null","null","188","188","null","null","0.3295","null","null","null","6.967","2.2052","2.4116","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","KC","QB","KC","null","0.2632","null","null","400","400","null","null","0.014","null","null","null","0.4184","0","6.0223","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","HOU","QB","HOU","null","2.6266","null","null","276","276","null","null","0.9212","null","null","null","5.4797","-0.052","9.3463","null",
"81306","null","Brandon Tate","WR","CIN","WR","CIN","null","1.7559","null","null","303","303","null","null","0.1331","null","null","null","3.3568","0.21","12.8701","null",
"81831","null","Brian Hartline","WR","CLE","WR","CLE","null","7.5478","null","null","158","158","null","null","0.6333","null","null","null","9.6651","5.8265","2.7086","null",
"81857","null","Kevin Ogletree","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"89688","null","Kevin Brock","TE","NO","TE","NO","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","4.5375","null","null","226","226","null","null","0.1506","null","null","null","5.4672","1.5394","3.5825","null",
"89798","null","Antone Smith","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","7.3229","null","null","160","160","null","null","0.0411","null","null","null","9.6544","5.53","3.7162","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","8.2048","null","null","140","140","null","null","0.2572","null","null","null","9.168","5.0662","2.9751","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","8.9702","null","null","124","124","null","null","0.0826","null","null","null","9.2051","6.4125","3.829","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","10","null","null","106","106","null","null","0","null","null","null","8.0495","0","7.816","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","5.9352","null","null","191","191","null","null","0.2357","null","null","null","5.9055","3.2","3.4938","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","7.7992","null","null","150","150","null","null","0.3973","null","null","null","8.3359","6.1","3.5894","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","5.6991","null","null","195","195","null","null","0.471","null","null","null","6.3391","4.9","4.3006","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","4.1894","null","null","238","238","null","null","null","null","null","null","4.887","2.6","5.5255","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","8.8863","null","null","130","130","null","null","0.8036","null","null","null","10.4494","6.2481","8.02","null",
"100010","null","Lions","DST","DET","DST","DET","null","6.8494","null","null","170","170","null","null","0.3188","null","null","null","8.168","3.3","3.4449","null",
"100011","null","Packers","DST","GB","DST","GB","null","8.8888","null","null","129","129","null","null","0.3433","null","null","null","10.7144","5.202","4.6719","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","6.3904","null","null","181","181","null","null","0.5729","null","null","null","7.3079","4.8689","6.2699","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","7.481","null","null","159","159","null","null","0.1779","null","null","null","8.825","4.1","4.8613","null",
"100014","null","Colts","DST","IND","DST","IND","null","6.866","null","null","169","169","null","null","0.1517","null","null","null","7.7868","4.4","2.5795","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","7.9343","null","null","147","147","null","null","0.2942","null","null","null","8.4434","5.7052","4.0455","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","7.2832","null","null","161","161","null","null","0.0142","null","null","null","8.6392","6.4624","3.4137","null",
"100017","null","Rams","DST","STL","DST","STL","null","5.4894","null","null","201","201","null","null","0.525","null","null","null","7.2179","3.75","4.7742","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","4.759","null","null","219","219","null","null","0.3387","null","null","null","5.2838","3.769","5.8624","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","10","null","null","106","106","null","null","0","null","null","null","8.0495","0","10.2227","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","10","null","null","106","106","null","null","0.5149","null","null","null","8.0495","0","10.2227","null",
"100021","null","Patriots","DST","NE","DST","NE","null","6.5793","null","null","175","175","null","null","0.1432","null","null","null","7.6089","5.22","3.3868","null",
"100022","null","Saints","DST","NO","DST","NO","null","5.6998","null","null","194","194","null","null","0.1055","null","null","null","6.215","3.6972","3.9835","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","7.9607","null","null","146","146","null","null","0.0939","null","null","null","8.9949","1.7577","2.7746","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","10","null","null","106","106","null","null","1.0705","null","null","null","8.0495","0","7.816","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","7.2578","null","null","163","163","null","null","0.3211","null","null","null","8.604","4.2087","3.3158","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","10.0811","null","null","105","105","null","null","0.0811","null","null","null","11.6177","8.3","5.9323","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","7.2803","null","null","162","162","null","null","0.1478","null","null","null","7.6263","3.2045","4.4345","null",
"100028","null","Chargers","DST","SD","DST","SD","null","4.9619","null","null","215","215","null","null","0.2568","null","null","null","5.6033","3.6","4.714","null",
